#
# Copyright (c) 2020 Bitdefender
# SPDX-License-Identifier: Apache-2.0
#

# 0x00 - 0x0F
SLDT         ; Mw          ; LDTR                    ;            0x0F 0x00 /0:mem        ; s:I286PROT, t:SYSTEM, w:W|R, m:NOREAL|NOSGX
PMOVMSKB     ; Gy,Nq       ;                         ;         NP 0x0F 0xD7 /r:reg        ; s:SSE, t:MMX, w:W|R, e:7, a:D64
PMOVMSKB     ; Gy,Ux       ;                         ;       0x66 0x0F 0xD7 /r:reg        ; s:SSE2, t:SSE, w:W|R, e:7, a:D64
PSUBUSB      ; Pq,Qq       ;                         ;         NP 0x0F 0xD8 /r            ; s:MMX, t:MMX, w:RW|R
PSUBUSB      ; Vx,Wx       ;                         ;       0x66 0x0F 0xD8 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSUBUSW      ; Pq,Qq       ;                         ;         NP 0x0F 0xD9 /r            ; s:MMX, t:MMX, w:RW|R
PSUBUSW      ; Vx,Wx       ;                         ;       0x66 0x0F 0xD9 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PMINUB       ; Pq,Qq       ;                         ;         NP 0x0F 0xDA /r            ; s:MMX, t:MMX, w:RW|R
PMINUB       ; Vx,Wx       ;                         ;       0x66 0x0F 0xDA /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PAND         ; Pq,Qq       ;                         ;         NP 0x0F 0xDB /r            ; s:MMX, t:LOGICAL, w:RW|R
PAND         ; Vx,Wx       ;                         ;       0x66 0x0F 0xDB /r            ; s:SSE2, t:LOGICAL, w:RW|R, e:4
PADDUSB      ; Pq,Qq       ;                         ;         NP 0x0F 0xDC /r            ; s:MMX, t:MMX, w:RW|R
PADDUSB      ; Vx,Wx       ;                         ;       0x66 0x0F 0xDC /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PADDUSW      ; Pq,Qq       ;                         ;         NP 0x0F 0xDD /r            ; s:MMX, t:MMX, w:RW|R
PADDUSW      ; Vx,Wx       ;                         ;       0x66 0x0F 0xDD /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PMAXUB       ; Pq,Qq       ;                         ;         NP 0x0F 0xDE /r            ; s:MMX, t:MMX, w:RW|R
PMAXUB       ; Vx,Wx       ;                         ;       0x66 0x0F 0xDE /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PANDN        ; Pq,Qq       ;                         ;         NP 0x0F 0xDF /r            ; s:MMX, t:LOGICAL, w:RW|R
PANDN        ; Vx,Wx       ;                         ;       0x66 0x0F 0xDF /r            ; s:SSE2, t:LOGICAL, w:RW|R, e:4

# 0xE0 - 0xEF
PAVGB        ; Pq,Qq       ;                         ;         NP 0x0F 0xE0 /r            ; s:MMX, t:MMX, w:RW|R
PAVGB        ; Vx,Wx       ;                         ;       0x66 0x0F 0xE0 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSRAW        ; Pq,Qq       ;                         ;         NP 0x0F 0xE1 /r            ; s:MMX, t:MMX, w:RW|R
PSRAW        ; Vx,Wx       ;                         ;       0x66 0x0F 0xE1 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSRAD        ; Pq,Qq       ;                         ;         NP 0x0F 0xE2 /r            ; s:MMX, t:MMX, w:RW|R
PSRAD        ; Vx,Wx       ;                         ;       0x66 0x0F 0xE2 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PAVGW        ; Pq,Qq       ;                         ;         NP 0x0F 0xE3 /r            ; s:MMX, t:MMX, w:RW|R
PAVGW        ; Vx,Wx       ;                         ;       0x66 0x0F 0xE3 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PMULHUW      ; Pq,Qq       ;                         ;         NP 0x0F 0xE4 /r            ; s:MMX, t:MMX, w:RW|R
PMULHUW      ; Vx,Wx       ;                         ;       0x66 0x0F 0xE4 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PMULHW       ; Pq,Qq       ;                         ;         NP 0x0F 0xE5 /r            ; s:MMX, t:MMX, w:RW|R
PMULHW       ; Vx,Wx       ;                         ;       0x66 0x0F 0xE5 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
CVTTPD2DQ    ; Vx,Wpd      ;                         ;       0x66 0x0F 0xE6 /r            ; s:SSE2, t:CONVERT, w:W|R, e:2
CVTDQ2PD     ; Vx,Wq       ;                         ;       0xF3 0x0F 0xE6 /r            ; s:SSE2, t:CONVERT, w:W|R, e:5
CVTPD2DQ     ; Vx,Wpd      ;                         ;       0xF2 0x0F 0xE6 /r            ; s:SSE2, t:CONVERT, w:W|R, e:2
MOVNTQ       ; Mq,Pq       ;                         ;         NP 0x0F 0xE7 /r:mem        ; s:MMX, t:DATAXFER, w:W|R
MOVNTDQ      ; Mx,Vx       ;                         ;       0x66 0x0F 0xE7 /r:mem        ; s:SSE2, t:DATAXFER, w:W|R, e:1
PSUBSB       ; Pq,Qq       ;                         ;         NP 0x0F 0xE8 /r            ; s:MMX, t:MMX, w:RW|R
PSUBSB       ; Vx,Wx       ;                         ;       0x66 0x0F 0xE8 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSUBSW       ; Pq,Qq       ;                         ;         NP 0x0F 0xE9 /r            ; s:MMX, t:MMX, w:RW|R
PSUBSW       ; Vx,Wx       ;                         ;       0x66 0x0F 0xE9 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PMINSW       ; Pq,Qq       ;                         ;         NP 0x0F 0xEA /r            ; s:MMX, t:MMX, w:RW|R
PMINSW       ; Vx,Wx       ;                         ;       0x66 0x0F 0xEA /r            ; s:SSE2, t:SSE, w:RW|R, e:4
POR          ; Pq,Qq       ;                         ;         NP 0x0F 0xEB /r            ; s:MMX, t:LOGICAL, w:RW|R
POR          ; Vx,Wx       ;                         ;       0x66 0x0F 0xEB /r            ; s:SSE2, t:LOGICAL, w:RW|R, e:4
PADDSB       ; Pq,Qq       ;                         ;         NP 0x0F 0xEC /r            ; s:MMX, t:MMX, w:RW|R
PADDSB       ; Vx,Wx       ;                         ;       0x66 0x0F 0xEC /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PADDSW       ; Pq,Qq       ;                         ;         NP 0x0F 0xED /r            ; s:MMX, t:MMX, w:RW|R
PADDSW       ; Vx,Wx       ;                         ;       0x66 0x0F 0xED /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PMAXSW       ; Pq,Qq       ;                         ;         NP 0x0F 0xEE /r            ; s:MMX, t:MMX, w:RW|R
PMAXSW       ; Vx,Wx       ;                         ;       0x66 0x0F 0xEE /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PXOR         ; Pq,Qq       ;                         ;         NP 0x0F 0xEF /r            ; s:MMX, t:LOGICAL, w:RW|R
PXOR         ; Vx,Wx       ;                         ;       0x66 0x0F 0xEF /r            ; s:SSE2, t:LOGICAL, w:RW|R, e:4

# 0xF0 - 0xFF
LDDQU        ; Vx,Mx       ;                         ;       0xF2 0x0F 0xF0 /r:mem        ; s:SSE3, t:SSE, w:W|R, e:4
PSLLW        ; Pq,Qq       ;                         ;         NP 0x0F 0xF1 /r            ; s:MMX, t:MMX, w:RW|R
PSLLW        ; Vx,Wx       ;                         ;       0x66 0x0F 0xF1 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSLLD        ; Pq,Qq       ;                         ;         NP 0x0F 0xF2 /r            ; s:MMX, t:MMX, w:RW|R
PSLLD        ; Vx,Wx       ;                         ;       0x66 0x0F 0xF2 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSLLQ        ; Pq,Qq       ;                         ;         NP 0x0F 0xF3 /r            ; s:MMX, t:MMX, w:RW|R
PSLLQ        ; Vx,Wx       ;                         ;       0x66 0x0F 0xF3 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PMULUDQ      ; Pq,Qq       ;                         ;         NP 0x0F 0xF4 /r            ; s:SSE2, t:MMX, w:RW|R, e:4
PMULUDQ      ; Vx,Wx       ;                         ;       0x66 0x0F 0xF4 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PMADDWD      ; Pq,Qq       ;                         ;         NP 0x0F 0xF5 /r            ; s:MMX, t:MMX, w:RW|R
PMADDWD      ; Vx,Wx       ;                         ;       0x66 0x0F 0xF5 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSADBW       ; Pq,Qq       ;                         ;         NP 0x0F 0xF6 /r            ; s:MMX, t:MMX, w:RW|R
PSADBW       ; Vx,Wx       ;                         ;       0x66 0x0F 0xF6 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
MASKMOVQ     ; Pq,Nq       ; pDIq                    ;         NP 0x0F 0xF7 /r:reg        ; s:MMX, t:DATAXFER, w:R|R|W
MASKMOVDQU   ; Vdq,Udq     ; pDIdq                   ;       0x66 0x0F 0xF7 /r:reg        ; s:SSE2, t:DATAXFER, w:R|R|W, e:4
PSUBB        ; Pq,Qq       ;                         ;         NP 0x0F 0xF8 /r            ; s:MMX, t:MMX, w:RW|R
PSUBB        ; Vx,Wx       ;                         ;       0x66 0x0F 0xF8 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSUBW        ; Pq,Qq       ;                         ;         NP 0x0F 0xF9 /r            ; s:MMX, t:MMX, w:RW|R
PSUBW        ; Vx,Wx       ;                         ;       0x66 0x0F 0xF9 /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSUBD        ; Pq,Qq       ;                         ;         NP 0x0F 0xFA /r            ; s:MMX, t:MMX, w:RW|R
PSUBD        ; Vx,Wx       ;                         ;       0x66 0x0F 0xFA /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PSUBQ        ; Pq,Qq       ;                         ;         NP 0x0F 0xFB /r            ; s:MMX, t:MMX, w:RW|R
PSUBQ        ; Vx,Wx       ;                         ;       0x66 0x0F 0xFB /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PADDB        ; Pq,Qq       ;                         ;         NP 0x0F 0xFC /r            ; s:MMX, t:MMX, w:RW|R
PADDB        ; Vx,Wx       ;                         ;       0x66 0x0F 0xFC /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PADDW        ; Pq,Qq       ;                         ;         NP 0x0F 0xFD /r            ; s:MMX, t:MMX, w:RW|R
PADDW        ; Vx,Wx       ;                         ;       0x66 0x0F 0xFD /r            ; s:SSE2, t:SSE, w:RW|R, e:4
PADDD        ; Pq,Qq       ;                         ;         NP 0x0F 0xFE /r            ; s:MMX, t:MMX, w:RW|R
PADDD        ; Vx,Wx       ;                         ;       0x66 0x0F 0xFE /r            ; s:SSE2, t:SSE, w:RW|R, e:4
UD0          ; Gd,Ed       ;                         ;            0x0F 0xFF /r            ; s:UD, t:UD, w:R|R
